Code,Name,Target_Asli,Prediksi_Model
AALI,Astra Agro Lestari Tbk.,8000.0,969.45306
ABBA,Mahaka Media Tbk.,142.0,609.4665
ABDA,Asuransi Bina Dana Arta Tbk.,6700.0,1517.0209
ABMM,ABM Investama Tbk.,3050.0,367.1316
ACES,Ace Hardware Indonesia Tbk.,490.0,479.49826
ACST,Acset Indonusa Tbk.,156.0,323.858
ADCP,Adhi Commuter Properti Tbk.,64.0,535.15924
ADES,Akasha Wira International Tbk.,7125.0,1177.5614
ADHI,Adhi Karya (Persero) Tbk.,452.0,536.10486
ADMF,Adira Dinamika Multi Finance T,8850.0,609.1912
ADMG,Polychem Indonesia Tbk,150.0,1219.4071
ADMR,Adaro Minerals Indonesia Tbk.,1560.0,622.8227
ADRO,Adaro Energy Indonesia Tbk.,3140.0,634.7483
AGAR,Asia Sejahtera Mina Tbk.,270.0,541.25934
AGII,Aneka Gas Industri Tbk.,1935.0,432.36462
AGRO,Bank Raya Indonesia Tbk.,406.0,601.76117
AGRS,Bank IBK Indonesia Tbk.,89.0,385.46008
AHAP,Asuransi Harta Aman Pratama Tb,64.0,1427.808
AIMS,Akbar Indo Makmur Stimec Tbk,274.0,638.0715
AISA,FKS Food Sejahtera Tbk.,142.0,977.27313
AKKU,Anugerah Kagum Karya Utama Tbk,50.0,514.96277
AKPI,Argha Karya Prima Industry Tbk,1150.0,1258.3197
AKRA,AKR Corporindo Tbk.,1270.0,1157.6976
AKSI,Mineral Sumberdaya Mandiri Tbk,406.0,605.69147
ALDO,Alkindo Naratama Tbk.,800.0,362.088
ALKA,Alakasa Industrindo Tbk,600.0,1429.6395
ALMI,Alumindo Light Metal Industry ,292.0,971.16437
ALTO,Tri Banyan Tirta Tbk.,50.0,396.54922
AMAG,Asuransi Multi Artha Guna Tbk.,358.0,521.9209
AMAN,Makmur Berkah Amanda Tbk.,710.0,510.7249
AMAR,Bank Amar Indonesia Tbk.,224.0,549.46075
AMFG,Asahimas Flat Glass Tbk.,5250.0,1049.6836
AMIN,Ateliers Mecaniques D Indonesi,171.0,400.30206
AMMS,Agung Menjangan Mas Tbk.,41.0,534.7552
AMOR,Ashmore Asset Management Indon,1320.0,552.68976
AMRT,Sumber Alfaria Trijaya Tbk.,2800.0,698.0638
ANDI,Andira Agro Tbk.,50.0,497.81805
ANJT,Austindo Nusantara Jaya Tbk.,645.0,380.83704
ANTM,Aneka Tambang Tbk.,1985.0,983.8717
APEX,Apexindo Pratama Duta Tbk.,252.0,321.24274
APIC,Pacific Strategic Financial Tb,1120.0,610.8179
APII,Arita Prima Indonesia Tbk.,199.0,332.4969
APLI,Asiaplast Industries Tbk.,260.0,760.32477
APLN,Agung Podomoro Land Tbk.,143.0,320.64886
ARCI,Archi Indonesia Tbk.,330.0,574.04584
ARGO,Argo Pantes Tbk,1275.0,1390.005
ARII,Atlas Resources Tbk.,264.0,336.37338
ARKA,Arkha Jayanti Persada Tbk.,50.0,514.8775
ARKO,Arkora Hydro Tbk.,565.0,590.5075
ARMY,Armidian Karyatama Tbk.,50.0,511.3135
ARNA,Arwana Citramulia Tbk.,1000.0,653.9959
ARTA,Arthavest Tbk,2090.0,581.12836
ARTI,Ratu Prabu Energi Tbk,50.0,547.1486
ARTO,Bank Jago Tbk.,3060.0,451.19275
ASBI,Asuransi Bintang Tbk.,498.0,1485.8615
ASDM,Asuransi Dayin Mitra Tbk.,930.0,1505.8992
ASGR,Astra Graphia Tbk.,930.0,1468.971
ASHA,Cilacap Samudera Fishing Indus,71.0,605.0507
ASII,Astra International Tbk.,5450.0,1740.1389
ASJT,Asuransi Jasa Tania Tbk.,125.0,568.425
ASLC,Autopedia Sukses Lestari Tbk.,111.0,592.2749
ASMI,Asuransi Maximus Graha Persada,102.0,367.10645
ASPI,Andalan Sakti Primaindo Tbk.,90.0,502.82135
ASRI,Alam Sutera Realty Tbk.,153.0,390.5149
ASRM,Asuransi Ramayana Tbk.,1625.0,1465.1542
ASSA,Adi Sarana Armada Tbk.,730.0,299.14453
ATAP,Trimitra Prawara Goldland Tbk.,76.0,525.21436
ATIC,Anabatic Technologies Tbk.,386.0,389.2812
AUTO,Astra Otoparts Tbk.,1400.0,894.3426
AVIA,Avia Avian Tbk.,625.0,598.32086
AXIO,Tera Data Indonusa Tbk.,236.0,593.5227
AYLS,Agro Yasa Lestari Tbk.,86.0,532.0667
BABP,Bank MNC Internasional Tbk.,98.0,592.3492
BACA,Bank Capital Indonesia Tbk.,130.0,476.66046
BAJA,Saranacentral Bajatama Tbk.,121.0,349.41284
BALI,Bali Towerindo Sentra Tbk.,790.0,345.0273
BANK,Bank Aladin Syariah Tbk.,1325.0,590.34015
BAPA,Bekasi Asri Pemula Tbk.,86.0,402.82147
BAPI,Bhakti Agung Propertindo Tbk.,50.0,488.21848
BATA,Sepatu Bata Tbk.,540.0,2032.5569
BAUT,Mitra Angkasa Sejahtera Tbk.,50.0,593.5832
BAYU,Bayu Buana Tbk,990.0,1473.6647
BBCA,Bank Central Asia Tbk.,8300.0,2840.1968
BBHI,Allo Bank Indonesia Tbk.,1695.0,431.71442
BBKP,Bank KB Bukopin Tbk.,114.0,480.72064
BBLD,Buana Finance Tbk.,625.0,1455.3226
BBMD,Bank Mestika Dharma Tbk.,2070.0,390.59116
BBNI,Bank Negara Indonesia (Persero,8900.0,1247.0184
BBRI,Bank Rakyat Indonesia (Persero,4620.0,2007.2975
BBRM,Pelayaran Nasional Bina Buana ,57.0,330.46997
BBSI,Bank Bisnis Internasional Tbk.,3040.0,576.4156
BBSS,Bumi Benowo Sukses Sejahtera T,62.0,495.88812
BBTN,Bank Tabungan Negara (Persero),1340.0,478.8377
BBYB,Bank Neo Commerce Tbk.,615.0,397.18683
BCAP,MNC Kapital Indonesia Tbk.,74.0,665.71515
BCIC,Bank JTrust Indonesia Tbk.,180.0,943.6293
BCIP,Bumi Citra Permai Tbk.,71.0,330.87283
BDMN,Bank Danamon Indonesia Tbk.,2620.0,1537.5404
BEBS,Berkah Beton Sadaya Tbk.,770.0,564.6903
BEEF,Estika Tata Tiara Tbk.,60.0,512.3055
BEKS,Bank Pembangunan Daerah Banten,50.0,628.5501
BELL,Trisula Textile Industries Tbk,137.0,466.23206
BESS,Batulicin Nusantara Maritim Tb,168.0,536.1485
BEST,Bekasi Fajar Industrial Estate,128.0,297.722
BFIN,BFI Finance  Indonesia Tbk.,1070.0,1488.4377
BGTG,Bank Ganesha Tbk.,87.0,430.18106
BHAT,Bhakti Multi Artha Tbk.,820.0,549.8283
BHIT,MNC Investama Tbk.,57.0,833.54425
BIKA,Binakarya Jaya Abadi Tbk.,95.0,355.48407
BIKE,Sepeda Bersama Indonesia Tbk.,193.0,597.5185
BIMA,Primarindo Asia Infrastructure,113.0,1132.2418
BINA,Bank Ina Perdana Tbk.,3930.0,410.287
BINO,Perma Plasindo Tbk.,130.0,581.9993
BIPI,Astrindo Nusantara Infrastrukt,153.0,343.534
BIPP,Bhuwanatala Indah Permai Tbk.,50.0,1017.139
BIRD,Blue Bird Tbk.,1385.0,354.66986
BISI,BISI International Tbk.,1550.0,524.3299
BJBR,Bank Pembangunan Daerah Jawa B,1345.0,465.9718
BJTM,Bank Pembangunan Daerah Jawa T,705.0,406.7318
BKDP,Bukit Darmo Property Tbk,80.0,382.9757
BKSL,Sentul City Tbk.,50.0,865.2001
BKSW,Bank QNB Indonesia Tbk.,100.0,583.42004
BLTA,Berlian Laju Tanker Tbk,50.0,1401.1678
BLTZ,Graha Layar Prima Tbk.,2820.0,357.35367
BLUE,Berkah Prima Perkasa Tbk.,280.0,515.1331
BMAS,Bank Maspion Indonesia Tbk.,1090.0,358.88287
BMHS,Bundamedik Tbk.,420.0,578.9678
BMRI,Bank Mandiri (Persero) Tbk.,9800.0,1581.0287
BMSR,Bintang Mitra Semestaraya Tbk,725.0,785.18854
BMTR,Global Mediacom Tbk.,268.0,1060.8268
BNBA,Bank Bumi Arta Tbk.,920.0,542.9295
BNBR,Bakrie & Brothers Tbk,70.0,1444.016
BNGA,Bank CIMB Niaga Tbk.,1145.0,1530.3414
BNII,Bank Maybank Indonesia Tbk.,222.0,1469.231
BNLI,Bank Permata Tbk.,1010.0,1523.2943
BOBA,Formosa Ingredient Factory Tbk,185.0,594.01715
BOGA,Bintang Oto Global Tbk.,1260.0,444.76312
BOLA,Bali Bintang Sejahtera Tbk.,214.0,521.36505
BOLT,Garuda Metalindo Tbk.,715.0,396.13422
BOSS,Borneo Olah Sarana Sukses Tbk.,88.0,470.23322
BPFI,Batavia Prosperindo Finance Tb,655.0,444.78418
BPII,Batavia Prosperindo Internasio,10700.0,378.42966
BPTR,Batavia Prosperindo Trans Tbk.,193.0,470.36536
BRAM,Indo Kordsa Tbk.,8175.0,1441.9674
BRIS,Bank Syariah Indonesia Tbk.,1390.0,534.5954
BRMS,Bumi Resources Minerals Tbk.,152.0,264.95932
BRNA,Berlina Tbk.,970.0,1478.0883
BRPT,Barito Pacific Tbk.,820.0,1259.3983
BSDE,Bumi Serpong Damai Tbk.,905.0,414.80963
BSIM,Bank Sinarmas Tbk.,865.0,452.77228
BSML,Bintang Samudera Mandiri Lines,322.0,583.4288
BSSR,Baramulti Suksessarana Tbk.,4110.0,336.82236
BSWD,Bank Of India Indonesia Tbk.,1375.0,399.40005
BTEK,Bumi Teknokultura Unggul Tbk,50.0,514.54315
BTEL,Bakrie Telecom Tbk.,50.0,410.68854
BTON,Betonjaya Manunggal Tbk.,432.0,656.3715
BTPN,Bank BTPN Tbk.,2530.0,536.57965
BTPS,Bank BTPN Syariah Tbk.,2620.0,514.7685
BUAH,Segar Kumala Indonesia Tbk.,975.0,611.0233
BUDI,Budi Starch & Sweetener Tbk.,222.0,1128.5988
BUKA,Bukalapak.com Tbk.,254.0,561.91693
BUKK,Bukaka Teknik Utama Tbk.,1085.0,382.1891
BULL,Buana Lintas Lautan Tbk.,161.0,365.71503
BUMI,Bumi Resources Tbk.,148.0,1331.3441
BUVA,Bukit Uluwatu Villa Tbk.,60.0,360.08228
BVIC,Bank Victoria International Tb,108.0,825.62427
BWPT,Eagle High Plantations Tbk.,65.0,432.08362
BYAN,Bayan Resources Tbk.,20575.0,591.27875
CAKK,Cahayaputra Asa Keramik Tbk.,175.0,493.0396
CAMP,Campina Ice Cream Industry Tbk,312.0,483.15137
CANI,Capitol Nusantara Indonesia Tb,78.0,339.47668
CARE,Metro Healthcare Indonesia Tbk,474.0,542.1434
CARS,Industri dan Perdagangan Bintr,76.0,453.4184
CASA,Capital Financial Indonesia Tb,710.0,453.86343
CASH,Cashlez Worldwide Indonesia Tb,123.0,463.33997
CASS,Cardig Aero Services Tbk.,412.0,330.4756
CBMF,Cahaya Bintang Medan Tbk.,50.0,547.56683
CCSI,Communication Cable Systems In,670.0,513.6983
CEKA,Wilmar Cahaya Indonesia Tbk.,1975.0,1049.3287
CENT,Centratama Telekomunikasi Indo,107.0,600.71844
CFIN,Clipan Finance Indonesia Tbk.,294.0,1454.8643
CHEM,Chemstar Indonesia Tbk.,141.0,593.0492
CINT,Chitose Internasional Tbk.,224.0,362.44843
CITA,Cita Mineral Investindo Tbk.,3460.0,636.83026
CITY,Natura City Developments Tbk.,141.0,462.09158
CLAY,Citra Putra Realty Tbk.,580.0,509.2373
CLEO,Sariguna Primatirta Tbk.,484.0,464.66486
CLPI,Colorpak Indonesia Tbk.,925.0,636.29175
CMNP,Citra Marga Nusaphala Persada ,1920.0,1128.8674
CMNT,Cemindo Gemilang Tbk.,900.0,586.8432
CMPP,AirAsia Indonesia Tbk.,180.0,1062.2338
CMRY,Cisarua Mountain Dairy Tbk.,4270.0,624.6661
CNKO,Exploitasi Energi Indonesia Tb,50.0,635.68207
CNTX,Century Textile Industry Tbk.,212.0,2209.6135
COAL,Black Diamond Resources Tbk.,120.0,597.8774
COCO,Wahana Interfood Nusantara Tbk,262.0,518.7011
COWL,Cowell Development Tbk.,50.0,266.96896
CPIN,Charoen Pokphand Indonesia Tbk,6000.0,1557.213
CPRI,Capri Nusa Satu Properti Tbk.,50.0,470.26746
CPRO,Central Proteina Prima Tbk.,53.0,470.37085
CRAB,Toba Surimi Industries Tbk.,216.0,610.4208
CSAP,Catur Sentosa Adiprana Tbk.,780.0,479.63223
CSIS,Cahayasakti Investindo Sukses ,61.0,413.77048
CSMI,Cipta Selera Murni Tbk.,3150.0,554.6969
CSRA,Cisadane Sawit Raya Tbk.,560.0,549.4901
CTBN,Citra Tubindo Tbk.,1625.0,1497.7252
CTRA,Ciputra Development Tbk.,890.0,1163.8184
CTTH,Citatah Tbk.,50.0,976.5545
DADA,Diamond Citra Propertindo Tbk.,50.0,501.12158
DART,Duta Anggada Realty Tbk.,173.0,1427.2704
DAYA,Duta Intidaya Tbk.,202.0,431.1834
DCII,DCI Indonesia Tbk.,37900.0,625.1346
DEAL,Dewata Freightinternational Tb,50.0,476.51685
DEFI,Danasupra Erapacific Tbk.,1455.0,655.8958
DEPO,Caturkarda Depo Bangunan Tbk.,482.0,596.1754
DEWA,Darma Henwa Tbk,54.0,439.04166
DEWI,Dewi Shri Farmindo Tbk.,220.0,609.0817
DFAM,Dafam Property Indonesia Tbk.,90.0,485.04752
DGIK,Nusa Konstruksi Enjiniring Tbk,124.0,445.15106
DGNS,Diagnos Laboratorium Utama Tbk,252.0,561.28827
DIGI,Arkadia Digital Media Tbk.,50.0,497.68683
DILD,Intiland Development Tbk.,160.0,1329.161
